Simulated,Estimated,aic,bic,bicp,nll,best,ef,ep,minbic,relbic,maxrelbic,proprelbic,proplogrelbic
10,8,8760.841314,9750.336524,0,4080.420657,0,0.000825083,0,5000.393577,4749.942947,8333.469129,0.569983865,0.937733159
10,9,9598.717039,10588.21225,0,4499.358519,0,0.000825083,0,5000.393577,5587.818672,8333.469129,0.670527314,0.955727815
10,10,3757.410739,5076.737686,13.2,1478.70537,3,0.117104583,0,5000.393577,76.34410924,8333.469129,0.009161144,0.480198717
10,11,8557.678463,9877.00541,0.1,3878.839232,0,0.000825084,0,5000.393577,4876.611833,8333.469129,0.585183884,0.940648309
10,12,9368.450395,10687.77734,0.1,4284.225197,0,0.000825083,0,5000.393577,5687.383765,8333.469129,0.68247493,0.957684094
11,1,16429.81998,17089.48346,0.3,8014.909991,0,0.000825088,0,8461.737896,8627.745559,9157.577289,0.942142806,0.99346676
11,2,14961.70134,15621.36481,6,7280.850669,0,0.008588252,0,8461.737896,7159.626916,9157.577289,0.781825443,0.973019657
11,3,14732.01429,15391.67776,2.2,7166.007146,0,0.000825106,0,8461.737896,6929.939869,9157.577289,0.756743804,0.969445272
11,4,13907.42648,14896.92169,1.2,6653.713239,0,0.000825092,0,8461.737896,6435.183792,9157.577289,0.702716842,0.961325562
11,5,16629.81997,17619.31518,0,8014.909987,0,0.000825083,0,8461.737896,9157.577289,9157.577289,1,1
11,6,12095.18817,13084.68338,9.6,5747.594085,0,0.066209049,0,8461.737896,4622.945483,9157.577289,0.504821891,0.925068586
11,7,10474.11938,11463.61459,0.2,4937.059691,0,0.000825084,0,8461.737896,3001.876696,9157.577289,0.327802496,0.877734839
11,8,7961.606411,8951.101621,37.3,3680.803205,0,0.510987075,0.802371,8461.737896,489.3637246,9157.577289,0.053438121,0.678894681
11,9,8197.461514,9186.956724,18,3798.730757,0,0.076152005,0.001483,8461.737896,725.2188278,9157.577289,0.079193307,0.722016024
11,10,9903.909949,11223.2369,0.7,4551.954974,0,0.00082509,0,8461.737896,2761.498999,9157.577289,0.301553447,0.868585428
11,11,7142.41095,8461.737896,18.4,3171.205475,10,0.332287966,0.196146,8461.737896,0,9157.577289,0,0
11,12,7248.369523,8567.696469,6.1,3224.184761,0,0.00082511,0,8461.737896,105.9585728,9157.577289,0.01157059,0.511168161
12,1,20238.42118,20898.08465,1.4,9919.210589,0,0.000825105,0,16489.15838,4408.926271,4938.758027,0.892719637,0.986656737
12,2,19608.75696,20268.42043,4,9604.37848,0,0.000825116,0,16489.15838,3779.262052,4938.758027,0.765225191,0.968537421
12,3,19381.27671,20040.94019,8.8,9490.638357,0,0.021195215,0,16489.15838,3551.781806,4938.758027,0.719164978,0.961238146
12,4,18026.17472,19015.66993,1.1,8713.087359,0,0.000825095,0,16489.15838,2526.511547,4938.758027,0.511568199,0.921189338
12,5,20438.4212,21427.91641,0,9919.210599,0,0.000825084,0,16489.15838,4938.758027,4938.758027,1,1
12,6,17082.08396,18071.57917,24.9,8241.041981,0,0.31159978,0.090714,16489.15838,1582.420791,4938.758027,0.32040865,0.866175711
12,7,17343.11766,18332.61287,0.8,8371.558831,0,0.000825095,0,16489.15838,1843.45449,4938.758027,0.373262768,0.884128419
12,8,16247.84985,17237.34506,11.1,7823.924926,0,0.072223197,1.00E-06,16489.15838,748.1866807,4938.758027,0.151492881,0.778101625
12,9,15872.27006,16861.76527,33.7,7636.135028,0,0.464555522,0.909265,16489.15838,372.6068854,4938.758027,0.075445463,0.696133453
12,10,16403.28906,17722.616,0.6,7801.644529,0,0.00082509,0,16489.15838,1233.457623,4938.758027,0.249750568,0.836882548
12,11,15339.95592,16659.28286,4.5,7269.977959,0,0.000825113,0,16489.15838,170.1244831,4938.758027,0.034446815,0.603951727
12,12,15169.83143,16489.15838,9.1,7184.915717,10,0.124650586,2.00E-05,16489.15838,0,4938.758027,0,0
