Simulated,Estimated,aic,bic,nll,wins,bicp,best
6,15,15505.3978909755,16165.0613642851,7552.69894548773,0,13.3,0
6,16,16484.6525528449,17474.1477628093,7942.32627642246,0,0.5,0
6,17,14695.3914232918,15684.8866332562,7047.69571164589,0,3,0
6,18,14646.1119620051,15635.6071719695,7023.05598100253,0,11.7,0
6,19,19556.5271541552,20546.0223641196,9478.26357707759,0,0,0
6,20,15426.0656782491,16415.5608882136,7413.03283912457,0,1.1,0
6,21,15315.9149043997,16305.4101143641,7357.95745219985,0,1.1,0
6,22,17474.2849569109,18793.6119035302,8337.14247845547,0,0,0
6,23,14802.7530458306,16122.0799924498,7001.37652291532,0,0,0
6,24,14777.3706154103,16096.6975620295,6988.68530770514,0,0.4,0
6,25,22083.5829701007,22743.2464434103,10841.7914850503,0,0.7,0
6,26,21591.7802556906,22581.275465655,10495.8901278453,0,3,0
6,27,22013.7747995519,23003.2700095163,10706.8873997759,0,0.6,0
6,28,21754.8794981897,23074.2064448089,10477.4397490948,0,0,0
6,29,15840.4121541448,16829.9073641092,7620.20607707239,0,0.2,0
6,30,15713.3907142228,16702.8859241872,7556.6953571114,0,0.1,0
6,31,15520.1877332729,16509.6829432373,7460.09386663646,0,0,0
6,32,14922.1905512028,16241.517497822,7061.0952756014,0,0,0
6,33,14784.7726565302,16104.0996031494,6992.38632826507,0,0.1,0
6,34,14623.9841701469,15943.3111167661,6911.99208507345,0,0.1,0
6,35,15253.9926308363,16903.1513141104,7126.99631541817,0,0,0
6,36,14962.2274570721,16611.3861403461,6981.11372853603,0,0,0
6,37,15368.851317027,17018.010000301,7184.42565851351,0,0,0
6,38,15160.553966093,17139.5443860218,6980.2769830465,0,0,0
6,39,15092.2412198684,17071.2316397972,6946.12060993421,0,0,0
6,40,14877.3500555858,16856.3404755147,6838.67502779291,0,0,0
7,1,9754.84073319924,10414.5042065088,4677.42036659962,0,11,0
7,2,12138.6216752983,12798.2851486079,5869.31083764913,0,0.3,0
7,3,13012.2486511231,13671.9121244327,6306.12432556155,0,0.1,0
7,4,7885.15220864422,8874.64741860863,3642.57610432211,0,0.1,0
7,5,11035.9391964026,12025.434406367,5217.96959820131,0,0,0
7,6,11963.8261525954,12953.3213625598,5681.91307629771,0,0,0
7,7,3708.06442726447,4697.55963722888,1554.03221363224,1,56,10
7,8,8886.5176811077,9876.01289107211,4143.25884055385,0,0.1,0
7,9,9822.96627543077,10812.4614853952,4611.48313771539,0,0,0
7,10,3855.97924972821,5175.30619634742,1527.9896248641,0,0.7,0
7,11,8817.95881122162,10137.2857578408,4008.97940561081,0,0,0
7,12,9799.21195879061,11118.5389054098,4499.60597939531,0,0,0
7,13,9850.26637867274,10509.9298519823,4725.13318933637,0,8,0
7,14,10318.732055501,10978.3955288106,4959.36602775052,0,0.4,0
7,15,10940.5910821161,11600.2545554257,5270.29554105805,0,0.3,0
7,16,7775.50647153922,8765.00168150363,3587.75323576961,0,0.3,0
7,17,8603.32035468121,9592.81556464562,4001.6601773406,0,0.4,0
7,18,9471.21214486554,10460.7073548299,4435.60607243277,0,0,0
7,19,4335.13173762633,5324.62694759074,1867.56586881317,0,20.9,0
7,20,5655.39319183555,6644.88840179996,2527.69659591777,0,0.5,0
7,21,6264.41038058468,7253.90559054909,2832.20519029234,0,0.1,0
7,22,4192.11323691786,5511.44018353708,1696.05661845893,0,0.7,0
7,23,5639.25934808523,6958.58629470445,2419.62967404262,0,0,0
7,24,6409.12474077917,7728.45168739838,2804.56237038958,0,0,0
7,25,11277.6706459018,11937.3341192114,5438.83532295088,0,0.1,0
7,26,9642.47741056605,10631.9726205305,4521.23870528303,0,0,0
7,27,9786.21385731117,10775.7090672756,4593.10692865558,0,0,0
7,28,8209.53353306269,9528.8604796819,3704.76676653134,0,0,0
7,29,9802.92170584988,10792.4169158143,4601.46085292494,0,0,0
7,30,10345.4358919519,11334.9311019163,4872.71794597596,0,0,0
7,31,10945.6605140597,11935.1557240241,5172.83025702983,0,0,0
7,32,7855.88207727049,9175.2090238897,3527.94103863524,0,0,0
7,33,8611.1852252944,9930.51217191362,3905.5926126472,0,0,0
7,34,9475.91424761689,10795.2411942361,4337.95712380845,0,0,0
7,35,3992.3878826266,5641.54656590062,1496.1939413133,0,0,0
7,36,5635.64823215807,7284.80691543209,2317.82411607903,0,0,0
7,37,6311.45655884753,7960.61524212154,2655.72827942376,0,0,0
7,38,4164.42418194155,6143.41460187037,1482.21209097077,0,0,0
7,39,5679.79241684752,7658.78283677634,2239.89620842376,0,0,0
7,40,6441.67187950103,8420.66229942985,2620.83593975051,0,0,0
8,1,16362.6086352197,17022.2721085293,7981.30431760985,0,1.2,0
8,2,14823.1305765935,15482.7940499031,7211.56528829674,0,6.9,0
8,3,14792.2465513284,15451.910024638,7196.12327566419,0,1.4,0
8,4,14513.4247421607,15502.9199521251,6956.71237108033,0,0,0
8,5,12988.8200985314,13978.3153084958,6194.41004926568,0,0.1,0
8,6,13261.669389761,14251.1645997254,6330.83469488049,0,0.1,0
8,7,9907.67747231535,10897.1726822798,4653.83873615767,0,1,0
8,8,7200.52278042896,8190.01799039337,3300.26139021448,1,59.4,10
8,9,8299.25072179908,9288.74593176349,3849.62536089954,0,2.5,0
8,10,9927.3338917885,11246.6608384077,4563.66694589425,0,0,0
8,11,7327.79232731188,8647.11927393109,3263.89616365594,0,0.3,0
8,12,8401.5076424925,9720.83458911172,3800.75382124625,0,0.1,0
8,13,17249.8834014808,17909.5468747904,8424.94170074039,0,0.7,0
8,14,14829.5617486073,15489.2252219169,7214.78087430363,0,2.9,0
8,15,14852.4941982516,15512.1576715612,7226.24709912579,0,1.1,0
8,16,15582.9045528371,16572.3997628016,7491.45227641857,0,0.1,0
8,17,12892.521362626,13882.0165725904,6146.26068131301,0,0.1,0
8,18,13466.6602776982,14456.1554876626,6433.3301388491,0,0.2,0
8,19,12261.1858382246,13250.681048189,5830.59291911232,0,0.1,0
8,20,7631.38018106853,8620.87539103294,3515.69009053427,0,17.5,0
8,21,8538.35339210389,9527.8486020683,3969.17669605195,0,1,0
8,22,11882.6956807863,13202.0226274055,5541.34784039315,0,0,0
8,23,7695.29463311379,9014.62157973301,3447.6473165569,0,0.4,0
8,24,8651.0076133917,9970.33456001091,3925.50380669585,0,0.2,0
8,25,19776.7192922604,20436.38276557,9688.35964613021,0,1.3,0
8,26,17031.8088810174,18021.3040909819,8215.90444050872,0,0,0
8,27,19521.821434691,20511.3166446555,9460.91071734552,0,0.5,0
8,28,16496.7738508417,17816.1007974609,7848.38692542086,0,0.1,0
8,29,15119.213100106,16108.7083100704,7259.60655005301,0,0.2,0
8,30,14923.02538836,15912.5205983244,7161.51269418,0,0.3,0
8,31,14896.8234318721,15886.3186418365,7148.41171593605,0,0,0
8,32,13276.2259547517,14595.5529013709,6238.11297737583,0,0,0
8,33,12955.5785748245,14274.9055214437,6077.78928741223,0,0,0
8,34,13439.5195238672,14758.8464704864,6319.7597619336,0,0,0
8,35,7761.56858102625,9410.72726430027,3380.78429051312,0,0.1,0
8,36,7425.71608442448,9074.8747676985,3212.85804221224,0,0.2,0
8,37,8523.27096678132,10172.4296500553,3761.63548339066,0,0,0
8,38,7914.33507617856,9893.32549610738,3357.16753808928,0,0,0
8,39,7588.52329617909,9567.51371610791,3194.26164808954,0,0,0
8,40,8658.56650674405,10637.5569266729,3729.28325337202,0,0,0
9,1,20188.279709105,20847.9431824146,9894.1398545525,0,1.1,0
9,2,19432.629789419,20092.2932627286,9516.31489470952,0,4.6,0
9,3,19176.2379031345,19835.9013764441,9388.11895156726,0,9.4,0
9,4,18456.5178492557,19446.0130592201,8928.25892462782,0,0,0
9,5,17730.5887120277,18720.0839219921,8565.29435601383,0,0.9,0
9,6,17558.9314644087,18548.4266743731,8479.46573220434,0,0.6,0
9,7,16706.3439550466,17695.839165011,8053.17197752331,0,0.5,0
9,8,15305.7493127993,16295.2445227637,7352.87465639964,0,6.7,0
9,9,14857.511982408,15847.0071923724,7128.755991204,1,29.4,10
9,10,16251.9449324635,17571.2718790828,7725.97246623177,0,0.2,0
